X,Y,OBJECTID,Name,Address,PhoneNumber,Website,Facebook,Twitter,SportsHall,Hall,Stage,MeetingRooms,Wifi,CoffeeDock,ITFacilities,ChildcareCreche,Parking,DisabilityAccess,OutDoorFacilities,PlayArea,SummaryActivities,Creator,CreationDate,Editor,EditorDate,SDCCOwned,PrimaryActivity,Email
-6.332661100336836,53.309945952977557,4809,GREENHILLS Community Centre,"SAINT JOSEPH'S ROAD, GREENHILLS, DUBLIN 12",+353 1 450 0165,http://www.greenhillscommunitycentre.ie/,,,Yes,Yes,Yes,Yes,,Yes,,,Yes,,Yes,,OPERATION OF SPORTS FACILITIES,COMMUNITY,2015-06-15T15:39:47.000Z,Esri_Anonymous,2017-08-18T14:38:17.000Z,No,Multi Use Community Centres,greenhillscommunitycentre@eircom.ie
-6.341031679768454,53.276262149571764,4830,FIRHOUSE COMMUNITY & LEISURE CENTRE,"FIRHOUSE COMMUNITY AND LEISURE CENTRE, BALLYCULLEN DRIVE, DUBLIN 24 Eircode D24YYOH",01 4514455,http://www.fclc.ie,https://www.facebook.com/Firhouse-Community-Leisure-Centre,na,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,"Bridge, Aerobics, Pilates, Mother & Toddler, Montessori, Afterschool, Karate, Playball, Basketball, Football, Golden Years, Weightwatchers, Stage School & dance classes, boxercise",COMMUNITY,2015-06-15T15:39:47.000Z,Esri_Anonymous,2017-08-18T15:06:39.000Z,Yes,Multi Use Community Centres,fclccentre@gmail.com
-6.351561870658014,53.303860750170443,4916,KILNAMANAGH Family Recreation Community Centre,"TREEPARK ROAD, DUBLIN 24",01-4521199,na,https://www.facebook.com/Kilnamanagh-Family-Recreation-Centre-109659802471632/,na,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,"Senior Citizens Day Care Centre, Junior Variety Group, Basketball, Football, Badminton, Weight Reducing, Mens Development, Womens Group, Political Clinics, Cultural groups, Drama, Pantomime, Bar",COMMUNITY,2015-06-15T15:39:47.000Z,Esri_Anonymous,2016-04-04T13:43:59.000Z,Yes,Multi Use Community Centres,kfrc.exec@gmail.com
-6.322051410264154,53.311145816954351,5282,PERRYSTOWN & MANOR ESTATE COMMUNITY CENTRE,"LIMEKILN LANE, PERRYSTOWN, DUBLIN 12",01 4515527,na,https://www.facebook.com/Perrystown-Community-Centre-126782084096859/,na,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,"Active Retired, Whist, Bridge, Bingo, LineDancing, Ladies Club, Karate, Weightwatchers, Yoga, Art, English & History, Badminton, Kumon Homework Club, Tai Chi, An Cor Choir, Irish Dancing, Youth Club",COMMUNITY,2015-06-15T15:46:10.000Z,Esri_Anonymous,2016-03-10T16:17:51.000Z,Yes,Multi Use Community Centres,perrystownmanor@eircom.net
-6.365423239921286,53.27642627854749,5283,TYMON BAWN COMMUNITY CENTRE,"CHURCH GROVE, DUBLIN 24",01 4521028,http://www.tymonbawn.com/,https://www.facebook.com/Tymon-Bawn-Community-Centre-247246278685375/,na,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,,Yes,,"Indoor Football, Bootcamp, Aerobics, Irish Dancing, Head the Ball, Senior Bowls (Tuesday), Ladies Club, Badminton, Knitting club, Twirlers, St John's Ambulance, Bowls (Friday)",COMMUNITY,2015-06-15T15:46:10.000Z,Esri_Anonymous,2016-04-04T13:56:04.000Z,No,Multi Use Community Centres,tymonbawn@gmail.com
-6.379659626582695,53.275727945218257,5284,KILLINARDEN COMMUNITY CENTRE,"KILLINARDEN HEIGHTS, TALLAGHT, DUBLIN 24 EIrcode d134567",01 4526617,http://www.killinardencommunitycentre.com,http://www.facebook.com/killinarden.centre,na,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,"Youth Project dropins, Golden Circle Active Age, Prayer group, Slim & save, Super Troopers, Parent & Toddler, Killinarden Angling, CARP, Foroige, KEY Project, Cathal King",COMMUNITY,2015-06-15T15:46:10.000Z,Esri_Anonymous,2017-08-18T12:05:53.000Z,Yes,Multi Use Community Centres,hildakill@gmail.com
-6.317023012426315,53.283287306055023,5290,KNOCKLYON YOUTH & COMMUNITY CENTRE,"Irdrour Aur Nua, Knocklyon Rd. Templeogue, Dublin 16",4943991,na,na,na,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,"Youth club, Speech & Drama, Lyons Den, Flower Arranging, Spanish, Yoga, Pilates, Zumba, IrishDancing, Karate, Art, Badminton, Basketball, Circuit Training",COMMUNITY,2015-06-15T15:46:10.000Z,Esri_Anonymous,2016-03-10T16:13:17.000Z,No,Multi Use Community Centres,na
-6.399800431023945,53.350977635252931,5293,QUARRYVALE COMMUNITY CENTRE,"GREENFORT GARDENS, QUARRYVALE, CLONDAKIN, DUBLIN 22",01 6233417 EirCode D22DY68,na,https://www.facebook.com/Quarryvale-Community-Leisure-Centre-438092496358705/,na,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,"Splash art, Camera club, Q Teens, Youth Cáfe, Rainbow club, Chitchat club, Starlettes, IrishDancing, Shotokan, Twirlers, Crayon club, Baby massage, fitness classes, parent & toddler group",COMMUNITY,2015-06-15T15:46:10.000Z,Esri_Anonymous,2017-08-18T14:55:56.000Z,Yes,Multi Use Community Centres,dgrahamgvale@eircom.net
-6.412879519027286,53.324874247594543,5298,BAWNOGUE YOUTH COMMUNITY CENTRE,"BAWNOGUE ROAD, DUBLIN 22",01 4576734 Eircode D22DY68,n/a,https://www.facebook.com/pages/Bawnogue-Youth-Community-Centre/173025299408500,na,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,,,"Youth services, Garda Diversion Project, Kids Clubs, After School Clubs, Training and Women's clubs, Men's club, Exercise classes, Irish Dancing, Majorettes, Guitar, Reading support, Over 55's,",COMMUNITY,2015-06-15T15:46:10.000Z,Esri_Anonymous,2017-08-02T08:09:43.000Z,Yes,Multi Use Community Centres,na
-6.401468121041084,53.337937504184936,5300,NEILSTOWN COMMUNITY CENTRE,"UNIT 12, NEILSTOWN ROAD, DUBLIN 22",01 4575943 Eircode D22Y9W9,na,na,na,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,"IT Training, Martial Arts, Indoor Football Training, Creche, After Schools Club, Youth Club, Fitness Class, Slimming World, Dance Class",COMMUNITY,2015-06-15T15:46:10.000Z,Esri_Anonymous,2017-08-01T15:43:29.000Z,Yes,Multi Use Community Centres,neilstowncc@gmail.com
